address,name_tag,chain,txn_count
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,Axie Infinity: Ronin Bridge,Ronin,3090658
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Polygon (Matic): Bridge,Polygon,2529908
0xabea9132b05a70803a4e85094fd0e1800777fbef,zkSync,zkSync,802552
0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,Arbitrum: Delayed Inbox,Arbitrum,766518
0x5fdcca53617f4d2b9134b29090c87d01058e27e9,Immutable X: Bridge,Immutable X,369840
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,Optimism,274407
0x401f6c983ea34274ec46f84d70b31c151321188b,Polygon (Matic): Plasma Bridge,Polygon,263412
0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,Celer Network: cBridge V2,Celer Network,198530
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,StarkNet: StarkGate ETH Bridge,StarkNet,154481
0x8eca806aecc86ce90da803b080ca4e3a9b8097ad,ZKSwap,zkSync,142862
0xe78388b4ce79068e89bf8aa7f218ef6b9ab0e9d0,Avalanche: Old Bridge,Avalanche,139446
0xc564ee9f21ed8a2d8e7e76c085740d5e4c5fafbe,Multichain: Fantom Bridge,Fantom,126044
0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,Orbit Chain: Bridge,Orbit Chain,121802
0x72ce9c846789fdb6fc1f34ac4ad25dd9ef7031ef,Arbitrum One: L1 Gateway Router,Arbitrum,70917
0xeae57ce9cc1984f202e15e038b964bb8bdf7229a,Sollet: Solana Bridge,Solana,70886
0x533e3c0e6b48010873b947bddc4721b1bdff9648,Multichain: Old BSC Bridge,BSC,61021
0x23ddd3e3692d1861ed57ede224608875809e127f,Near: Rainbow Bridge,NEAR,49703
0x1c479675ad559dc151f6ec7ed3fbf8cee79582b6,Arbitrum: Sequencer Inbox,Arbitrum,48302
0x6de5bdc580f55bc9dacafcb67b91674040a247e3,ZKSwap: V2 Bridge,zkSync,44164
0x64192819ac13ef72bf6b5ae239ac672b43a9af08,Axie Infinity: Ronin Bridge V2,Ronin,43103
0x5cdaf83e077dbac2692b5864ca18b61d67453be8,ZKSwap: ZKSpace Bridge,zkSync,41355
0x88ad09518695c6c3712ac10a214be5109a655671,Gnosis Chain: Omni Bridge,Gnosis,38749
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,Gnosis Chain: xDai Bridge,Gnosis,36713
0x10c6b61dbf44a083aec3780acf769c77be747e23,Multichain: Moonriver Bridge,Moonriver,33139
0x13b432914a996b0a48695df9b2d701eda45ff264,Multichain: BNB Bridge,BSC,27380
0xf9fb1c508ff49f78b60d3a96dea99fa5d7f3a8a6,Harmony: ETH Bridge,Harmony,24477
0x841ce48f9446c8e281d3f1444cb859b4a6d0738c,Celer Network: cBridge,Celer Network,21116
0x8eb8a3b98659cce290402893d0123abb75e3ab28,Avalanche: Bridge,Avalanche,15534
0x0b9857ae2d4a3dbe74ffe1d7df045bb7f96e4840,Arbitrum: Outbox 4,Arbitrum,15033
0x2dccdb493827e15a5dc8f8b72147e6c4a5620857,Harmony: ERC20 Bridge,Harmony,14920
0x9a8c4bdcd75cfa1059a6e453ac5ce9d3f5c82a35,Fantom: Bridge,Fantom,13394
0xa68d85df56e733a06443306a095646317b5fa633,Polygon: Hermez,Polygon,11409
0xdc1664458d2f0b6090bea60a8793a4e66c2f1c00,OMG Network: Boba Gateway,Boba,11380
0xf92cd566ea4864356c5491c177a430c222d7e678,Wormhole: Solana Bridge,Solana,9503
0xec4486a90371c9b66f499ff3936f29f0d5af8b7e,Multichain: Moonbeam Bridge,Moonbeam,7289
0x659a00c33263d9254fed382de81349426c795bb6,StarkNet: StarkGate DAI Bridge,StarkNet,6341
0xc578cbaf5a411dfa9f0d227f97dadaa4074ad062,Celer Network: cBridge 2.0,Celer Network,5793
0xe34b087bf3c99e664316a15b01e5295eb3512760,Zapper.Fi: Ethereum to Polygon Bridge,Polygon,5714
0x10e6593cdda8c58a1d0f14c5164b376352a55f2f,Optimism: DAI Bridge,Optimism,3463
0x8f92e7353b180937895e0c5937d616e8ea1a2bb9,Phala Network: Main Bridge Contract,Phala Network,3460
0x4d34e61caf7a3622759d69e48ccdeb8dee5021e8,Harmony: ONE Bridge,Harmony,3270
0x3014ca10b91cb3d0ad85fef7a3cb95bcac9c0f79,Fuse: Native Bridge,Fuse,2830
0x104b9b1c41c6764e88edf1207f498902d840fe2a,Zeroswap: BSC Bridge,BSC,2405
0xf6080d9fbeebcd44d89affbfd42f098cbff92816,StarkNet: StarkGate USDC Bridge,StarkNet,2287
0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,Harmony: BUSD Bridge,Harmony,2051
0xd779967f8b511c5edf39115341b310022900efed,Multichain: Huobi Bridge,Houbi,1497
0xbb3400f107804dfb482565ff1ec8d8ae66747605,StarkNet: StarkGate USDT Bridge,StarkNet,1084
0xc840838bc438d73c16c2f8b22d2ce3669963cd48,Arbitrum Nova: L1 Gateway Router,Arbitrum,765
0x46290b0c3a234e3d538050d8f34421797532a827,Multichain: Fusion Bridge,Fusion,549
0xfe601de9d4295274b9904d5a9ad7069f23ee2b32,Harmony: LINK Bridge,Harmony,511
0x070cb1270a4b2ba53c81cef89d0fd584ed4f430b,OMG Network V1: ERC-20 Vault,Boba,396
0x3eed23ea148d356a72ca695dbce2fceb40a32ce0,OMG Network V1: ETH Vault,Boba,361
0x0dd1f24cf4ff96f197a795d02d0ba1eb53448bcc,Zeroswap: Polygon Bridge,Polygon,277
0xe4cf417081a0ab3f964b44d904bc2b534351a9a7,Multichain: Oasis Network Bridge,Oasis,237
0x48d7a6bbc428bca019a560cf3e8ea5364395aad3,OMG Network V1: Exit Game,Boba,212
0x283751a21eafbfcd52297820d27c1f1963d9b5b4,StarkNet: StarkGate WBTC Bridge,StarkNet,115
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Polygon (Matic): ERC20 Bridge,Polygon,88
0x87bcb3038988ca2a89605ffa8f237fb78df1c3ae,Multichain: Fuse Bridge,Fuse,76
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,Polygon,70
0xcee284f754e854890e311e3280b767f80797180d,Arbitrum One: L1 Arb - Custom Gateway,Arbitrum,45
0x7301cfa0e1756b71869e93d4e4dca5c7d0eb0aa6,Gnosis: Home Bridge,Gnosis,39
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,Arbitrum One: L1 ERC20 Gateway,Arbitrum,31
0xa10c7ce4b876998858b1a9e12b10092229539400,Arbitrum: DAI L1 Escrow,Arbitrum,30
0x467194771dae2967aef3ecbedd3bf9a310c76c65,Optimism: L1 Escrow,Optimism,30
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,Arbitrum: Bridge,Arbitrum,29
0x98f3c9e6e3face36baad05fe09d375ef1464288b,Wormhole: Ethereum Core Bridge,Ethereum,21
0x426a61a2127fdd1318ec0edce02474f382fdad30,Harmony: ERC721 Bridge,Harmony,13
0x667e23abd27e623c11d4cc00ca3ec4d0bd63337a,Arbitrum: Outbox,Arbitrum,10
0x6ea6c65e14661c0bcab5bc862fe5e7d3b5630c2f,Gnosis: GEN-xGEN Bridge,Gnosis,6
0xd3b5b60020504bc3489d6949d545893982ba3011,Arbitrum One: L1 DAI Gateway,Arbitrum,5
0x23122da8c581aa7e0d07a36ff1f16f799650232f,Arbitrum Nova: L1 Arb-Custom Gateway,Arbitrum,4
0xd92023e9d9911199a6711321d1277285e6d4e2db,Arbitrum One: Wrapped Ether Gateway,Arbitrum,3
0xdac7bb7ce4ff441a235f08408e632fa1d799a147,Avalanche: Avalanche-Ethereum Bridge,Avalanche,3
0xb2535b988dce19f9d71dfb22db6da744acac21bf,Arbitrum Nova: L1 ERC20 Gateway,Arbitrum,2
0xe4e2121b479017955be0b175305b35f312330bae,Arbitrum Nova: L1 WETH Gateway,Arbitrum,2
0x1bd0029385f95ad2584cdfaf5c19f3f20651def6,Harmony: Token Bridge,Harmony,2
0xeec0fb4913119567cdfc0c5fc2bf8f9f9b226c2d,Phala Network: Phala Chain Bridge,Phala Network,2
0x7e7669bdff02f2ee75b68b91fb81c2b38f9228c2,Gnosis: Foreign Bridge,Gnosis,1
0xcd38b15a419491c7c1238b0659f65c755792e257,Phala Network: ERC20 Bridge Handler,Phala Network,1
0xe5896783a2f463446e1f624e64aa6836be4c6f58,Arbitrum: Challenge Manager,Arbitrum,0
0x14797f5432f699cb4d4db04df599b74952d78d7b,Arbitrum: Outbox Entry,Arbitrum,0